Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
550.6;0.045206;0.27;0.418725;0.381276;0.365653;0.333677;0.291887;0.239814;0.178550;0.123088;0.076709;0.046080
774.5;0.033044;0.49;0.746657;0.687583;0.652829;0.592207;0.520214;0.437163;0.342294;0.255257;0.177015;0.118729
1014.2;0.024013;0.14;0.803779;0.762252;0.750845;0.720955;0.680816;0.612794;0.517086;0.404835;0.298217;0.213061
1568.9;0.01381;0.33;0.947030;0.915185;0.893090;0.850925;0.795936;0.718742;0.627007;0.525612;0.427004;0.360921
1180.5;0.032231;0.02;0.843991;0.787105;0.774468;0.742808;0.696998;0.615346;0.511578;0.393527;0.277860;0.186391
442.1;0.018285;0.8;0.463191;0.434841;0.412844;0.378637;0.336495;0.282805;0.225192;0.173853;0.125852;0.092617
847.2;0.029937;0.72;1.125033;1.032504;0.961037;0.842941;0.708672;0.571896;0.428186;0.305515;0.205102;0.139496
376.5;0.056029;0.79;0.355556;0.319030;0.295207;0.256988;0.213745;0.168089;0.122786;0.084457;0.053119;0.032036
1001.8;0.035567;0.4;0.846775;0.777512;0.741832;0.676628;0.602140;0.509519;0.405525;0.306586;0.214152;0.143853
904.4;0.055707;0.8;1.047125;0.930335;0.862602;0.743711;0.605194;0.455775;0.322994;0.217847;0.138814;0.088044
1696.6;0.014597;0.68;1.593974;1.526430;1.459317;1.340315;1.187981;1.003666;0.818449;0.629182;0.474029;0.363348
979.9;0.014822;0.63;0.897884;0.861208;0.825106;0.761384;0.679773;0.577643;0.473851;0.371683;0.282819;0.223049
1552.2;0.025657;0.65;1.845769;1.712266;1.625837;1.465537;1.266926;1.038573;0.792699;0.584226;0.406308;0.280822
492.6;0.049269;0.02;0.297815;0.268069;0.256594;0.232999;0.200793;0.161449;0.117640;0.079550;0.048468;0.029277
846;0.04012;0.85;1.243118;1.129414;1.053923;0.922697;0.765086;0.579436;0.413603;0.272213;0.173518;0.110094
1598.3;0.033295;0.19;1.005471;0.936351;0.909988;0.860587;0.801247;0.714811;0.602618;0.477966;0.352846;0.249552
1584.5;0.024907;0.27;1.139992;1.062512;1.024185;0.954745;0.869780;0.779377;0.676792;0.551549;0.417777;0.307236
1299;0.016659;0.19;0.851539;0.814675;0.799696;0.767599;0.724578;0.661578;0.579410;0.500382;0.408115;0.324955
